"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 31, 2022","2.8177","2.5060","2.8510","2.3672","106.54M","12.44%"
"Jan 30, 2022","2.5059","2.3686","2.5601","2.3572","62.26M","5.69%"
"Jan 29, 2022","2.3710","2.2813","2.4139","2.2722","42.45M","3.93%"
"Jan 28, 2022","2.2813","2.2545","2.3138","2.1662","53.41M","1.17%"
"Jan 27, 2022","2.2548","2.1594","2.3488","2.0316","84.31M","4.42%"
"Jan 26, 2022","2.1595","2.1026","2.3617","2.0651","77.02M","2.71%"
"Jan 25, 2022","2.1025","2.0821","2.1670","2.0110","47.04M","0.97%"
"Jan 24, 2022","2.0824","2.1184","2.1300","1.8140","72.99M","-1.70%"
"Jan 23, 2022","2.1185","2.0377","2.1558","1.9947","57.79M","3.74%"
"Jan 22, 2022","2.0421","2.2197","2.2623","1.7098","111.16M","-8.00%"
"Jan 21, 2022","2.2198","2.6348","2.7005","2.1472","71.79M","-15.79%"
"Jan 20, 2022","2.6360","2.7298","2.8892","2.6175","32.52M","-3.49%"
"Jan 19, 2022","2.7312","2.8592","2.8947","2.7050","25.91M","-4.48%"
"Jan 18, 2022","2.8592","2.9034","2.9270","2.7752","29.85M","-1.53%"
"Jan 17, 2022","2.9035","3.1187","3.1804","2.8632","42.93M","-6.90%"
"Jan 16, 2022","3.1187","2.9890","3.1920","2.9288","44.66M","4.34%"
"Jan 15, 2022","2.9890","2.9579","3.0614","2.9160","28.15M","1.06%"
"Jan 14, 2022","2.9576","2.8947","3.0145","2.8177","32.80M","2.17%"
"Jan 13, 2022","2.8947","3.0834","3.0985","2.8846","38.27M","-6.11%"
"Jan 12, 2022","3.0832","2.9245","3.1053","2.9127","38.16M","5.43%"
"Jan 11, 2022","2.9245","2.8135","2.9440","2.7576","38.60M","3.93%"
"Jan 10, 2022","2.8140","2.9392","2.9717","2.6359","52.45M","-4.25%"
"Jan 09, 2022","2.9389","2.9336","3.0480","2.8433","38.43M","0.19%"
"Jan 08, 2022","2.9333","3.0559","3.1343","2.8418","45.76M","-4.00%"
"Jan 07, 2022","3.0556","3.3883","3.4315","3.0192","104.25M","-9.82%"
"Jan 06, 2022","3.3884","2.9147","3.4372","2.7890","139.22M","16.26%"
"Jan 05, 2022","2.9145","3.1753","3.2666","2.6908","52.51M","-8.21%"
"Jan 04, 2022","3.1753","3.2488","3.3031","3.1320","24.82M","-2.26%"
"Jan 03, 2022","3.2488","3.3375","3.3622","3.2118","21.10M","-2.69%"
"Jan 02, 2022","3.3385","3.3474","3.3797","3.2719","18.51M","-0.26%"
"Jan 01, 2022","3.3472","3.2688","3.3561","3.2633","17.42M","2.35%"
"Dec 31, 2021","3.2704","3.2887","3.4182","3.1938","38.66M","-0.55%"
"Dec 30, 2021","3.2886","3.2576","3.3672","3.1667","33.52M","1.05%"
"Dec 29, 2021","3.2545","3.3410","3.4622","3.2115","46.70M","-2.58%"
"Dec 28, 2021","3.3408","3.7416","3.7417","3.2988","71.80M","-10.71%"
"Dec 27, 2021","3.7416","3.8572","3.9683","3.7335","52.71M","-2.99%"
"Dec 26, 2021","3.8569","3.7447","3.9342","3.6246","58.26M","2.99%"
"Dec 25, 2021","3.7447","3.4989","3.8428","3.4749","66.24M","7.02%"
"Dec 24, 2021","3.4990","3.6807","3.8554","3.4550","89.06M","-4.94%"
"Dec 23, 2021","3.6807","3.2864","3.7441","3.2072","82.60M","12.01%"
"Dec 22, 2021","3.2860","3.2832","3.3883","3.2231","56.55M","0.08%"
"Dec 21, 2021","3.2835","3.1890","3.3243","3.1271","56.94M","2.98%"
"Dec 20, 2021","3.1886","3.2598","3.3232","3.0285","71.25M","-2.18%"
"Dec 19, 2021","3.2598","3.4339","3.6166","3.2488","79.62M","-5.08%"
"Dec 18, 2021","3.4342","3.0700","3.4950","3.0272","80.63M","11.86%"
"Dec 17, 2021","3.0701","3.1395","3.2232","2.9717","41.85M","-2.21%"
"Dec 16, 2021","3.1395","3.3366","3.4218","3.1237","46.52M","-5.90%"
"Dec 15, 2021","3.3363","3.1662","3.4086","2.9334","70.16M","5.37%"
"Dec 14, 2021","3.1662","3.1685","3.2595","3.0022","53.12M","-0.08%"
"Dec 13, 2021","3.1687","3.6254","3.6905","3.1101","56.41M","-12.59%"
"Dec 12, 2021","3.6252","3.4705","3.6707","3.4540","57.76M","4.48%"
"Dec 11, 2021","3.4699","3.2314","3.4811","3.1673","45.62M","7.40%"
"Dec 10, 2021","3.2309","3.4589","3.5964","3.2212","64.78M","-6.59%"
"Dec 09, 2021","3.4589","3.7683","3.8941","3.4211","85.38M","-8.21%"
