"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 31, 2022","0.3318","0.3302","0.3348","0.3095","45.30M","0.48%"
"Jan 30, 2022","0.3302","0.3198","0.3433","0.3148","55.26M","3.24%"
"Jan 29, 2022","0.3198","0.3131","0.3235","0.3096","47.11M","2.15%"
"Jan 28, 2022","0.3131","0.3016","0.3135","0.2927","47.48M","3.81%"
"Jan 27, 2022","0.3016","0.2891","0.3037","0.2796","59.64M","4.33%"
"Jan 26, 2022","0.2891","0.2792","0.3127","0.2748","77.78M","3.54%"
"Jan 25, 2022","0.2792","0.2732","0.2803","0.2611","63.31M","2.21%"
"Jan 24, 2022","0.2732","0.2938","0.2938","0.2400","88.90M","-7.03%"
"Jan 23, 2022","0.2938","0.2682","0.3024","0.2665","66.02M","9.64%"
"Jan 22, 2022","0.2680","0.2941","0.2983","0.2337","98.21M","-8.87%"
"Jan 21, 2022","0.2941","0.3498","0.3604","0.2866","79.88M","-15.95%"
"Jan 20, 2022","0.3499","0.3686","0.3811","0.3481","39.99M","-5.09%"
"Jan 19, 2022","0.3686","0.3875","0.3889","0.3616","34.80M","-4.87%"
"Jan 18, 2022","0.3875","0.3982","0.3983","0.3792","32.60M","-2.69%"
"Jan 17, 2022","0.3982","0.4108","0.4134","0.3900","36.10M","-3.08%"
"Jan 16, 2022","0.4109","0.4142","0.4157","0.4023","27.63M","-0.80%"
"Jan 15, 2022","0.4142","0.4039","0.4149","0.4005","26.61M","2.55%"
"Jan 14, 2022","0.4039","0.3979","0.4118","0.3935","33.65M","1.49%"
"Jan 13, 2022","0.3979","0.4196","0.4221","0.3955","35.28M","-5.15%"
"Jan 12, 2022","0.4196","0.4061","0.4200","0.3951","38.96M","3.34%"
"Jan 11, 2022","0.4060","0.3929","0.4221","0.3799","52.66M","3.32%"
"Jan 10, 2022","0.3930","0.4185","0.4224","0.3690","34.86M","-6.10%"
"Jan 09, 2022","0.4185","0.4059","0.4241","0.4017","21.04M","3.09%"
"Jan 08, 2022","0.4059","0.4117","0.4318","0.3966","27.48M","-1.40%"
"Jan 07, 2022","0.4117","0.4388","0.4411","0.4007","46.13M","-6.18%"
"Jan 06, 2022","0.4388","0.4332","0.4430","0.4151","31.00M","1.29%"
"Jan 05, 2022","0.4332","0.4645","0.4785","0.4139","27.88M","-6.74%"
"Jan 04, 2022","0.4645","0.4759","0.4826","0.4590","23.43M","-2.39%"
"Jan 03, 2022","0.4759","0.4979","0.5090","0.4656","30.74M","-4.28%"
"Jan 02, 2022","0.4972","0.4592","0.5239","0.4580","59.31M","8.39%"
"Jan 01, 2022","0.4587","0.4491","0.4608","0.4465","10.91M","1.96%"
"Dec 31, 2021","0.4499","0.4549","0.4670","0.4402","20.43M","-1.10%"
"Dec 30, 2021","0.4549","0.4437","0.4641","0.4337","18.91M","2.41%"
"Dec 29, 2021","0.4442","0.4516","0.4750","0.4328","28.77M","-1.64%"
"Dec 28, 2021","0.4516","0.5114","0.5132","0.4516","30.56M","-11.69%"
"Dec 27, 2021","0.5114","0.5006","0.5173","0.4954","19.37K","2.17%"
"Dec 26, 2021","0.5006","0.5082","0.5098","0.4940","12.55K","-1.51%"
"Dec 25, 2021","0.5082","0.4884","0.5187","0.4843","8.98K","4.06%"
"Dec 24, 2021","0.4884","0.4954","0.5207","0.4578","50.28K","-1.40%"
"Dec 23, 2021","0.4954","0.4644","0.4954","0.4462","26.04K","6.67%"
"Dec 22, 2021","0.4644","0.4557","0.4651","0.4540","103.83K","1.91%"
"Dec 21, 2021","0.4557","0.4526","0.4872","0.4405","9.27K","0.68%"
"Dec 20, 2021","0.4526","0.4739","0.4739","0.4235","176.45K","-4.50%"
"Dec 19, 2021","0.4739","0.4757","0.4842","0.4727","21.69K","-0.37%"
"Dec 18, 2021","0.4757","0.4708","0.4899","0.4572","45.13K","1.04%"
"Dec 17, 2021","0.4708","0.4571","0.4915","0.4550","322.46K","3.00%"
"Dec 16, 2021","0.4571","0.4630","0.4940","0.4571","108.17K","-1.29%"
"Dec 15, 2021","0.4630","0.4408","0.4671","0.4204","906.14K","5.04%"
"Dec 14, 2021","0.4408","0.4494","0.4494","0.4265","574.86K","-1.92%"
"Dec 13, 2021","0.4494","0.5306","0.5306","0.4373","160.69K","-15.30%"
"Dec 12, 2021","0.5306","0.5314","0.5315","0.5116","103.43K","-0.15%"
"Dec 11, 2021","0.5314","0.5203","0.5370","0.5067","161.41K","2.12%"
"Dec 10, 2021","0.5203","0.5638","0.5845","0.5051","539.12K","-7.70%"
"Dec 09, 2021","0.5638","0.6631","0.7102","0.5638","514.47K","-14.99%"
"Dec 08, 2021","0.6631","0.4846","0.7297","0.4613","2.00M","36.84%"
"Dec 07, 2021","0.4846","0.4876","0.5091","0.4763","224.00K","-0.61%"
"Dec 06, 2021","0.4876","0.4595","0.4995","0.4080","373.26K","6.12%"
"Dec 05, 2021","0.4595","0.5194","0.5194","0.4515","97.25K","-11.53%"
"Dec 04, 2021","0.5194","0.5714","0.5879","0.4095","1.11M","-9.10%"
